Sequence Name,mcg,gvh,alm,mit,erl,pox,vac,nuc
SSO1_YEAST,0.41,0.42,0.23,0.16,0.5,0,0.4,0.22
RL1A_YEAST,0.61,0.48,0.56,0.19,0.5,0,0.53,0.31
AP17_YEAST,0.53,0.52,0.49,0.27,0.5,0,0.51,0.22
PGD1_YEAST,0.41,0.48,0.54,0.24,0.5,0,0.37,0.51
KAPA_YEAST,0.25,0.26,0.53,0.17,0.5,0,0.45,0.22
SYDC_YEAST,0.46,0.35,0.53,0.16,0.5,0,0.51,0.29
MRS2_YEAST,0.55,0.59,0.47,0.64,0.5,0,0.54,0.33
CIN4_YEAST,0.66,0.45,0.5,0.23,0.5,0,0.49,0.22
CACM_YEAST,0.45,0.39,0.46,0.29,0.5,0,0.42,0.22
CC7_YEAST,0.42,0.31,0.5,0.15,0.5,0,0.53,0.22
KAR1_YEAST,0.23,0.34,0.41,0.28,0.5,0,0.5,0.27
SWI5_YEAST,0.41,0.39,0.61,0.17,0.5,0,0.5,0.61
TF3B_YEAST,0.49,0.51,0.52,0.13,0.5,0,0.51,0.33
YKY8_YEAST,0.25,0.4,0.52,0.15,0.5,0,0.56,0.28
OSTB_YEAST,0.78,0.71,0.35,0.25,0.5,0,0.49,0.22
DPOX_YEAST,0.32,0.49,0.53,0.28,0.5,0,0.5,0.5
RAM2_YEAST,0.4,0.6,0.5,0.16,0.5,0,0.51,0.22
ANC1_YEAST,0.53,0.31,0.58,0.39,0.5,0,0.47,0.37
RPC1_YEAST,0.56,0.61,0.52,0.19,0.5,0,0.52,0.32
DPO2_YEAST,0.54,0.53,0.48,0.14,0.5,0,0.49,0.33
YEA6_YEAST,0.42,0.71,0.45,0.15,0.5,0,0.48,0.22
SCO1_YEAST,0.52,0.54,0.47,0.49,0.5,0,0.54,0.22
MSN4_YEAST,0.51,0.56,0.62,0.24,0.5,0,0.52,0.51
MIF2_YEAST,0.37,0.31,0.53,0.16,0.5,0,0.53,0.44
PMT1_YEAST,0.37,0.51,0.39,0.18,0.5,0,0.51,0.27
ATPU_YEAST,0.5,0.54,0.53,0.54,0.5,0,0.51,0.27
RL6_YEAST,0.54,0.44,0.55,0.48,0.5,0,0.47,0.22
NU49_YEAST,0.69,0.62,0.49,0,1,0,0.47,0.22
R29B_YEAST,0.38,0.4,0.66,0.35,0.5,0,0.43,0.11
RT09_YEAST,0.58,0.53,0.5,0.53,0.5,0,0.47,0.31
NOT1_YEAST,0.37,0.46,0.4,0.27,0.5,0,0.45,0.22
ADB1_YEAST,0.47,0.41,0.46,0.18,0.5,0,0.53,0.22
RPB6_YEAST,0.27,0.31,0.55,0.13,0.5,0,0.5,0.22
SUP1_YEAST,0.41,0.49,0.55,0.13,0.5,0,0.55,0.22
YAB8_YEAST,0.69,0.66,0.36,0.09,0.5,0,0.56,0.22
MDHM_YEAST,0.58,0.49,0.5,0.41,0.5,0,0.57,0.22
GLYM_YEAST,0.47,0.56,0.53,0.44,0.5,0,0.53,0.22
ATPT_YEAST,0.63,0.53,0.54,0.4,0.5,0,0.5,0.22
YK62_YEAST,0.7,0.51,0.47,0.24,0.5,0,0.53,0.25
RPB1_YEAST,0.44,0.62,0.53,0.27,0.5,0,0.49,0.22
FLO1_YEAST,0.81,0.82,0.41,0.36,0.5,0,0.39,0.22
HS26_YEAST,0.44,0.41,0.58,0.2,0.5,0,0.57,0.25
MOD5_YEAST,0.67,0.51,0.54,0.21,0.5,0,0.43,0.3
DHSA_YEAST,0.56,0.65,0.49,0.56,0.5,0,0.49,0.22
BIK1_YEAST,0.64,0.57,0.57,0.27,0.5,0,0.37,0.22
PNPP_YEAST,0.38,0.62,0.52,0.14,0.5,0,0.53,0.22
HR25_YEAST,0.43,0.39,0.51,0.28,0.5,0,0.4,0.22
CBF5_YEAST,0.45,0.51,0.5,0.16,0.5,0,0.52,1
SGE1_YEAST,0.85,0.69,0.34,0.31,0.5,0,0.57,0.3
CG11_YEAST,0.49,0.43,0.51,0.13,0.5,0,0.47,0.22
MT17_YEAST,0.34,0.54,0.54,0.13,0.5,0,0.52,0.22
YHN8_YEAST,0.86,0.78,0.34,0.15,0.5,0,0.53,0.22
RAT1_YEAST,0.53,0.46,0.54,0.37,0.5,0,0.51,0.3
YHA9_YEAST,0.47,0.4,0.63,0.19,0.5,0,0.52,0.32
SWI6_YEAST,0.41,0.56,0.53,0.16,0.5,0,0.55,0.26
RIM2_YEAST,0.45,0.43,0.5,0.25,0.5,0,0.47,0.22
SPR1_YEAST,0.66,0.65,0.54,0.4,0.5,0,0.51,0.22
RPA9_YEAST,0.72,0.51,0.52,0.08,0.5,0,0.54,0.22
INV4_YEAST,0.75,0.76,0.58,0.22,0.5,0,0.49,0.22
RPBX_YEAST,0.57,0.49,0.61,0.26,0.5,0,0.52,0.22
PUR3_YEAST,0.73,0.63,0.42,0.3,0.5,0,0.49,0.22
PPAC_YEAST,0.74,0.72,0.5,0.28,0.5,0,0.49,0.27
ERG6_YEAST,0.32,0.47,0.55,0.12,0.5,0,0.52,0.22
MDL2_YEAST,0.72,0.56,0.4,0.26,0.5,0,0.51,0.26
CYB2_YEAST,0.53,0.44,0.51,0.33,0.5,0,0.52,0.22
RL4A_YEAST,0.56,0.35,0.47,0.41,0.5,0,0.5,0.22
CG12_YEAST,0.54,0.38,0.52,0.18,0.5,0,0.48,0.22
SON1_YEAST,0.4,0.39,0.6,0.23,0.5,0,0.52,0.31
MLP1_YEAST,0.46,0.55,0.61,0.13,0.5,0,0.47,0.22
YKA8_YEAST,0.3,0.37,0.4,0.45,0.5,0,0.48,0.41
PYC1_YEAST,0.46,0.43,0.5,0.24,0.5,0,0.48,0.31
VATX_YEAST,0.48,0.58,0.58,0.12,0.5,0,0.49,0.22
PIK1_YEAST,0.45,0.4,0.43,0.22,0.5,0,0.51,0.48
RL3P_YEAST,0.24,0.25,0.57,0.28,0.5,0,0.51,0.11
ATPO_YEAST,0.51,0.54,0.6,0.57,0.5,0,0.58,0.22
FAS1_YEAST,0.57,0.61,0.45,0.26,0.5,0,0.5,0.22
SYN_YEAST,0.47,0.41,0.53,0.27,0.5,0,0.47,0.25
VM12_YEAST,0.4,0.36,0.32,0.16,0.5,0,0.51,0.27
SC17_YEAST,0.46,0.44,0.58,0.17,0.5,0,0.55,0.22
CC4_YEAST,0.43,0.57,0.53,0.16,0.5,0,0.54,0.22
H104_YEAST,0.66,0.62,0.52,0.17,0.5,0,0.49,0.22
DAL5_YEAST,0.34,0.42,0.3,0.23,0.5,0,0.53,0.22
ATPY_YEAST,0.46,0.49,0.58,0.23,0.5,0,0.44,0.22
SPT3_YEAST,0.59,0.49,0.45,0.22,0.5,0,0.45,0.31
NIN1_YEAST,0.47,0.5,0.55,0.19,0.5,0,0.62,0.22
YCH0_YEAST,0.55,0.35,0.36,0.29,0.5,0,0.51,0.22
DA82_YEAST,0.56,0.43,0.54,0.16,0.5,0,0.5,0.22
ATPB_YEAST,0.43,0.57,0.51,0.49,0.5,0,0.48,0.22
TIP1_YEAST,0.77,0.7,0.44,0.29,0.5,0,0.56,0.22
GCR1_YEAST,0.27,0.51,0.47,0.35,0.5,0,0.49,0.28
NAM1_YEAST,0.51,0.46,0.54,0.41,0.5,0,0.53,0.22
USO1_YEAST,0.5,0.47,0.45,0.14,0.5,0,0.53,0.32
AGA2_YEAST,0.74,0.67,0.47,0.34,0.5,0,0.42,0.22
NAB1_YEAST,0.49,0.6,0.55,0.17,0.5,0,0.44,0.22
STH1_YEAST,0.66,0.65,0.53,0.17,0.5,0,0.47,0.66
PMS1_YEAST,0.38,0.48,0.51,0.13,0.5,0,0.5,0.32
ACE1_YEAST,0.43,0.39,0.54,0.21,0.5,0,0.53,0.27
ATC1_YEAST,0.44,0.43,0.34,0.21,0.5,0,0.55,0.4
YAF1_YEAST,0.45,0.51,0.43,0.22,0.5,0,0.57,0.22
RL44_YEAST,0.34,0.34,0.65,0.4,0.5,0,0.32,0.16
SIN4_YEAST,0.45,0.65,0.51,0.17,0.5,0,0.49,0.22
TRPE_YEAST,0.33,0.46,0.53,0.12,0.5,0,0.5,0.27
CC27_YEAST,0.48,0.54,0.5,0.17,0.5,0,0.53,0.22
MYS2_YEAST,0.53,0.41,0.5,0.24,1,0,0.47,0.22
STE2_YEAST,0.49,0.55,0.41,0.19,0.5,0,0.48,0.31
SKI3_YEAST,0.32,0.6,0.48,0.13,0.5,0,0.53,0.22
PYC2_YEAST,0.43,0.46,0.5,0.21,0.5,0,0.49,0.34
YJ90_YEAST,0.65,0.61,0.39,0.3,0.5,0,0.57,0.28
HEM1_YEAST,0.57,0.59,0.5,0.58,0.5,0,0.53,0.22
KTHY_YEAST,0.42,0.43,0.56,0.1,0.5,0,0.49,0.22
RAD2_YEAST,0.39,0.44,0.54,0.24,0.5,0,0.51,0.49
P152_YEAST,0.41,0.53,0.41,0.15,0.5,0,0.54,0.25
SUP2_YEAST,0.23,0.29,0.46,0,0.5,0,0.43,0.31
UBA1_YEAST,0.52,0.51,0.48,0.12,0.5,0,0.54,0.31
AMYH_YEAST,0.83,0.81,0.45,0.38,0.5,0,0.4,0.26
HXKA_YEAST,0.41,0.3,0.49,0.28,0.5,0,0.54,0.22
DPOG_YEAST,0.48,0.47,0.54,0.55,0.5,0,0.51,0.65
ALP1_YEAST,0.42,0.24,0.34,0.16,0.5,0,0.5,0.22
ATP6_YEAST,0.52,0.64,0.34,0.16,0.5,0,0.57,0.22
PUR4_YEAST,0.43,0.44,0.48,0.22,0.5,0,0.51,0.22
YAB1_YEAST,0.51,0.39,0.56,0.55,0.5,0,0.46,0.64
TFB1_YEAST,0.63,0.58,0.57,0.1,0.5,0,0.52,0.33
YJ43_YEAST,0.4,0.51,0.42,0.13,0.5,0,0.45,0.25
DUN1_YEAST,0.37,0.53,0.46,0.23,0.5,0,0.47,0.22
ALG5_YEAST,0.86,0.74,0.51,0.4,0.5,0,0.55,0.22
HXT3_YEAST,0.34,0.4,0.3,0.23,0.5,0,0.51,0.22
PR28_YEAST,0.62,0.41,0.52,0.17,0.5,0,0.48,0.22
YHR8_YEAST,0.31,0.42,0.48,0.17,0.5,0,0.49,0.53
RCA1_YEAST,0.41,0.41,0.43,0.61,0.5,0,0.53,0.22
DHE2_YEAST,0.59,0.43,0.52,0.19,0.5,0,0.55,0.27
UBC2_YEAST,0.48,0.47,0.59,0.41,0.5,0,0.56,0.27
YN46_YEAST,0.58,0.56,0.52,0.25,0.5,0,0.57,0.35
BAR1_YEAST,0.8,0.63,0.45,0.29,0.5,0,0.51,0.22
KPYK_YEAST,0.61,0.55,0.51,0.26,0.5,0,0.52,0.22
GCN2_YEAST,0.37,0.33,0.5,0.12,0.5,0,0.51,0.54
OM45_YEAST,0.75,0.66,0.64,0.39,0.5,0,0.46,0.32
KTR4_YEAST,0.94,0.6,0.33,0.49,0.5,0,0.54,0.22
DHA2_YEAST,0.57,0.53,0.53,0.34,0.5,0,0.53,0.22
ABF2_YEAST,0.55,0.5,0.66,0.36,0.5,0,0.49,0.22
HOP1_YEAST,0.29,0.68,0.47,0.26,0.5,0,0.47,0.37
HEM3_YEAST,0.46,0.45,0.56,0.16,0.5,0,0.56,0.22
DYHC_YEAST,0.6,0.56,0.47,0.2,0.5,0,0.5,0.38
NUP1_YEAST,0.45,0.41,0.58,0.48,0.5,0,0.53,0.64
RA23_YEAST,0.43,0.48,0.53,0.18,0.5,0,0.46,0.22
RL2A_YEAST,0.45,0.27,0.57,0.36,0.5,0,0.52,0.18
RFT1_YEAST,0.4,0.66,0.34,0.21,0.5,0,0.52,0.26
GCN4_YEAST,0.56,0.54,0.59,0.14,0.5,0,0.52,0.27
IMP1_YEAST,0.67,0.51,0.53,0.28,0.5,0,0.51,0.22
IF5_YEAST,0.41,0.46,0.57,0.25,0.5,0,0.57,0.38
INO1_YEAST,0.51,0.34,0.43,0.18,0.5,0,0.48,0.25
YNE2_YEAST,0.44,0.41,0.29,0.21,0.5,0,0.49,0.22
GCN5_YEAST,0.31,0.31,0.54,0.18,0.5,0,0.52,0.29
DPOE_YEAST,0.37,0.48,0.5,0.26,0.5,0,0.52,0.39
DSS4_YEAST,0.56,0.52,0.55,0.19,0.5,0,0.54,0.22
RL15_YEAST,0.46,0.35,0.69,0.18,0.5,0,0.3,0.25
OSTD_YEAST,0.78,0.73,0.27,0.28,0.5,0,0.56,0.22
INV1_YEAST,0.74,0.82,0.46,0.24,0.5,0,0.5,0.31
CTR1_YEAST,0.36,0.37,0.33,0.14,0.5,0,0.57,0.31
HO_YEAST,0.53,0.53,0.53,0.17,0.5,0,0.49,0.37
RTPT_YEAST,0.48,0.45,0.59,0.35,0.5,0,0.55,0.3
NUF2_YEAST,0.64,0.76,0.51,0.18,0.5,0,0.46,0.22
CH10_YEAST,0.55,0.53,0.56,0.29,0.5,0,0.48,0.22
PE12_YEAST,0.28,0.46,0.26,0.18,0.5,0,0.39,0.22
RLA1_YEAST,0.66,0.6,0.52,0.19,0.5,0,0.69,0.22
SNC2_YEAST,0.25,0.35,0.22,0.18,0.5,0,0.46,0.22
RAS2_YEAST,0.66,0.55,0.54,0.18,0.5,0,0.43,0.22
ERD2_YEAST,0.71,0.56,0.39,0.27,0.5,0,0.52,0.22
PPR1_YEAST,0.42,0.28,0.51,0.23,0.5,0,0.53,0.27
CB33_YEAST,0.41,0.45,0.53,0.17,0.5,0,0.51,0.25
IS42_YEAST,0.58,0.55,0.52,0.22,0.5,0,0.44,0.22
CATT_YEAST,0.41,0.51,0.58,0.15,0.5,0,0.45,0.27
PDR1_YEAST,0.33,0.38,0.45,0.19,0.5,0,0.54,0.37
YBT6_YEAST,0.54,0.44,0.38,0.22,0.5,0,0.54,0.3
AST1_YEAST,0.48,0.42,0.52,0.24,0.5,0,0.56,0.22
SEC7_YEAST,0.37,0.42,0.46,0.15,0.5,0,0.51,0.31
END2_YEAST,0.78,0.7,0.32,0.23,0.5,0,0.53,0.22
DBP2_YEAST,0.23,0.2,0.53,0.2,0.5,0,0.44,0.22
GPDA_YEAST,0.44,0.51,0.48,0.38,0.5,0,0.52,0.22
UCR9_YEAST,0.68,0.53,0.44,0.31,0.5,0,0.51,0.22
APE3_YEAST,0.74,0.57,0.51,0.28,0.5,0,0.58,0.22
PAS7_YEAST,0.5,0.51,0.57,0.27,0.5,0,0.48,0.22
SLY1_YEAST,0.64,0.31,0.53,0.15,0.5,0,0.53,0.31
R17B_YEAST,0.43,0.33,0.54,0.37,0.5,0,0.38,0.16
PEM1_YEAST,0.42,0.42,0.42,0.2,0.5,0,0.49,0.22
K6P1_YEAST,0.57,0.49,0.5,0.2,0.5,0,0.51,0.28
MTC_YEAST,0.38,0.51,0.75,0.17,0.5,0,0.55,0.22
RAP1_YEAST,0.54,0.53,0.53,0.17,0.5,0,0.51,0.39
CYBM_YEAST,0.61,0.72,0.39,0.33,0.5,0,0.58,0.22
TF2B_YEAST,0.58,0.64,0.42,0.3,0.5,0,0.54,0.22
E2BE_YEAST,0.32,0.38,0.52,0.2,0.5,0,0.52,0.28
SRB2_YEAST,0.49,0.48,0.51,0.21,0.5,0,0.53,0.22
DLDH_YEAST,0.48,0.48,0.5,0.47,0.5,0,0.55,0.22
ITR1_YEAST,0.49,0.41,0.32,0.21,0.5,0,0.5,0.32
ACP_YEAST,0.52,0.53,0.58,0.69,0.5,0,0.5,0.22
IDH1_YEAST,0.53,0.56,0.49,0.46,0.5,0,0.52,0.22
FUS1_YEAST,0.84,0.66,0.36,0.78,0.5,0,0.49,0.5
KTR1_YEAST,0.77,0.6,0.42,0.33,0.5,0,0.57,0.22
RL12_YEAST,0.59,0.51,0.48,0.12,0.5,0,0.54,0.31
RM33_YEAST,0.57,0.58,0.58,0.35,0.5,0,0.49,0.22
PP12_YEAST,0.49,0.47,0.52,0.16,0.5,0,0.53,0.28
SYSC_YEAST,0.3,0.33,0.55,0.12,0.5,0,0.53,0.38
CBP3_YEAST,0.47,0.47,0.57,0.48,0.5,0,0.48,0.22
RT05_YEAST,0.38,0.54,0.54,0.41,0.5,0,0.51,0.22
ILVB_YEAST,0.45,0.59,0.53,0.74,0.5,0,0.47,0.25
CHL1_YEAST,0.42,0.51,0.5,0.12,0.5,0,0.52,0.46
GALY_YEAST,0.56,0.59,0.53,0.16,0.5,0,0.24,0.42
N100_YEAST,0.9,0.54,0.59,0.2,0.5,0,0.48,0.22
COX3_YEAST,0.52,0.77,0.38,0.34,0.5,0,0.51,0.22
TRPD_YEAST,0.45,0.76,0.51,0.25,0.5,0,0.59,0.22
SCJ1_YEAST,0.39,1,0.38,0.41,0.5,0,0.5,0.27
EF1A_YEAST,0.63,0.43,0.48,0.11,0.5,0,0.51,0.22
YCW2_YEAST,0.54,0.54,0.56,0.18,0.5,0,0.46,0.29
YE14_YEAST,0.4,0.4,0.44,0.37,0.5,0,0.53,0.25
DAP2_YEAST,0.36,0.68,0.38,0.08,0.5,0,0.53,0.25
KAD1_YEAST,0.57,0.47,0.6,0.18,0.5,0,0.51,0.22
TOP1_YEAST,0.41,0.42,0.53,0.17,0.5,0,0.48,0.58
PMP1_YEAST,0.95,0.71,0.27,0.39,0.5,0,0.31,0.22
CHS2_YEAST,0.39,0.42,0.38,0.4,0.5,0,0.49,0.47
PDR4_YEAST,0.57,0.53,0.6,0.28,0.5,0,0.52,0.45
RL17_YEAST,0.37,0.44,0.64,0.48,0.5,0,0.36,0.27
PHO4_YEAST,0.44,0.42,0.57,0.22,0.5,0,0.5,0.25
SOF1_YEAST,0.36,0.32,0.55,0.27,0.5,0,0.47,0.43
MTA1_YEAST,0.49,0.37,0.59,0.17,0.5,0,0.51,0.22
GLNA_YEAST,0.44,0.34,0.55,0.18,0.5,0,0.52,0.22
K6P2_YEAST,0.62,0.43,0.49,0.29,0.5,0,0.5,0.27
IF4A_YEAST,0.38,0.42,0.5,0.19,0.5,0,0.44,0.22
RL16_YEAST,0.61,0.53,0.59,0.17,0.5,0,0.44,0.28
YHB9_YEAST,0.41,0.53,0.45,0.14,0.5,0,0.52,0.66
VP17_YEAST,0.25,0.4,0.54,0.16,0.5,0,0.43,0.22
YCS7_YEAST,0.31,0.3,0.34,0.19,0.5,0,0.55,0.3
MCM2_YEAST,0.26,0.38,0.52,0.36,0.5,0,0.48,0.56
HAP2_YEAST,0.47,0.49,0.63,0.17,0.5,0,0.31,0.26
RS28_YEAST,0.38,0.5,0.52,0.44,0.5,0,0.54,0.11
PRCZ_YEAST,0.48,0.48,0.56,0.18,0.5,0,0.58,0.22
YCK1_YEAST,0.71,0.51,0.49,0.23,0.5,0,0.3,0.32
UCR2_YEAST,0.49,0.45,0.54,0.4,0.5,0,0.55,0.22
IXR1_YEAST,0.42,0.32,0.61,0.13,0.5,0,0.14,0.27
YIA6_YEAST,0.51,0.59,0.46,0.13,0.5,0,0.48,0.22
PDR3_YEAST,0.61,0.46,0.44,0.47,0.5,0,0.5,0.37
ACEA_YEAST,0.52,0.5,0.53,0.1,0.5,0,0.48,0.22
CC25_YEAST,0.39,0.58,0.5,0.26,0.5,0,0.54,0.59
SRB5_YEAST,0.6,0.62,0.54,0.11,0.5,0,0.51,0.22
GSP2_YEAST,0.58,0.48,0.56,0.12,0.5,0,0.46,0.25
BET1_YEAST,0.38,0.5,0.37,0.26,0.5,0,0.43,0.22
MPI2_YEAST,0.59,0.57,0.43,0.26,0.5,0,0.51,0.22
CC23_YEAST,0.35,0.58,0.54,0.16,0.5,0,0.51,0.22
IRE1_YEAST,0.89,0.81,0.36,0.71,0.5,0,0.55,0.63
NCPR_YEAST,0.78,0.63,0.53,0.13,0.5,0,0.54,0.22
PT27_YEAST,0.26,0.28,0.6,0.2,0.5,0,0.54,0.31
UBIQ_YEAST,0.46,0.47,0.62,0.3,0.5,0,0.38,0.22
MPI1_YEAST,0.4,0.68,0.5,0.82,0.5,0,0.44,0.36
SCA1_YEAST,0.47,0.32,0.51,0.24,0.5,0,0.54,0.27
CIN8_YEAST,0.21,0.41,0.55,0.11,0.5,0,0.5,0.27
CALM_YEAST,0.48,0.64,0.61,0.23,0.5,0,0.6,0.22
SST2_YEAST,0.46,0.41,0.43,0.18,0.5,0,0.54,0.22
YHK8_YEAST,0.49,0.56,0.37,0.2,0.5,0,0.53,0.22
R142_YEAST,0.56,0.41,0.58,0.21,0.5,0,0.42,0.22
CSE1_YEAST,0.58,0.56,0.45,0.12,0.5,0,0.51,0.22
RPA2_YEAST,0.35,0.41,0.53,0.27,0.5,0,0.47,0.29
PHD1_YEAST,0.48,0.46,0.58,0.26,0.5,0,0.44,0.22
MPP1_YEAST,0.47,0.54,0.54,0.48,0.5,0,0.53,0.26
HXT7_YEAST,0.45,0.57,0.3,0.17,0.5,0,0.51,0.22
SC21_YEAST,0.44,0.71,0.5,0.21,0.5,0,0.54,0.27
AROF_YEAST,0.34,0.46,0.57,0.09,0.5,0,0.55,0.22
YKW0_YEAST,0.81,0.9,0.39,0.41,0.5,0,0.53,0.22
ERG8_YEAST,0.62,0.58,0.46,0.13,0.5,0,0.53,0.22
RM20_YEAST,0.41,0.52,0.53,0.41,0.5,0,0.39,0.33
RL2_YEAST,0.63,0.64,0.45,0.26,0.5,0,0.43,0.22
ERG7_YEAST,0.34,0.38,0.45,0.19,0.5,0,0.51,0.22
R161_YEAST,0.49,0.4,0.58,0.23,0.5,0,0.47,0.27
YJ16_YEAST,0.5,0.45,0.49,0.3,0.5,0,0.47,0.4
GFA1_YEAST,0.52,0.51,0.51,0.12,0.5,0,0.51,0.4
CNA2_YEAST,0.39,0.58,0.5,0.1,0.5,0,0.51,0.25
TBB_YEAST,0.53,0.42,0.53,0.19,0.5,0,0.47,0.22
YDA2_YEAST,0.49,0.27,0.57,0.18,0.5,0.83,0.54,0.22
RL41_YEAST,0.35,0.21,1,0.8,0.5,0,0.13,0.01
PT91_YEAST,0.59,0.45,0.58,0.21,0.5,0,0.49,0.22
COXG_YEAST,0.42,0.31,0.62,0.12,0.5,0,0.4,0.22
CBPY_YEAST,0.69,0.7,0.5,0.3,0.5,0,0.54,0.22
MSH3_YEAST,0.51,0.6,0.51,0.26,0.5,0,0.54,0.22
PEP3_YEAST,0.51,0.46,0.49,0.21,0.5,0,0.55,0.22
CPT1_YEAST,0.47,0.54,0.37,0.14,0.5,0,0.5,0.22
ODP2_YEAST,0.48,0.57,0.52,0.61,0.5,0,0.51,0.22
GTS1_YEAST,0.41,0.6,0.53,0.29,0.5,0,0.47,0.43
MCM3_YEAST,0.53,0.51,0.51,0.11,0.5,0,0.49,0.41
VP15_YEAST,0.65,0.63,0.47,0.22,0.5,0,0.52,0.27
DPOD_YEAST,0.25,0.39,0.5,0.23,0.5,0,0.5,0.28
COX2_YEAST,0.59,0.61,0.34,0.22,0.5,0,0.51,0.22
MFA3_YEAST,0.8,0.81,0.55,0.35,0.5,0,0.42,0.22
YHR0_YEAST,0.8,0.73,0.47,0.19,0.5,0,0.49,0.22
H2A1_YEAST,0.44,0.53,0.52,0.37,0.5,0,0.5,0.22
NFS1_YEAST,0.48,0.54,0.53,0.6,0.5,0,0.53,0.31
YHA8_YEAST,0.63,0.65,0.42,0.18,0.5,0,0.54,0.27
YHK5_YEAST,0.92,0.66,0.52,0.23,0.5,0,0.53,0.22
ARGI_YEAST,0.65,0.65,0.52,0.16,0.5,0,0.6,0.22
SODM_YEAST,0.54,0.47,0.58,0.4,0.5,0,0.46,0.27
NAT1_YEAST,0.5,0.36,0.53,0.41,0.5,0,0.55,0.36
P2B1_YEAST,0.32,0.42,0.52,0.24,0.5,0,0.6,0.22
CALX_YEAST,0.75,0.7,0.38,0.27,0.5,0,0.49,0.22
BSD2_YEAST,0.36,0.43,0.39,0.12,0.5,0,0.49,0.22
ATPG_YEAST,0.48,0.45,0.55,0.5,0.5,0,0.53,0.22
KAPC_YEAST,0.42,0.37,0.54,0.17,0.5,0,0.51,0.22
